Imagen,Filtro,Niveles,Programa,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
img_800.jpg,3,3,Secuencial,52.53,52.54,52.47,52.48,52.48,52.42,52.48,52.51,52.46,52.48
img_800.jpg,3,3,OpenMP,7.88,7.77,9.16,8.21,8.01,7.86,7.90,7.84,7.85,7.88
img_800.jpg,3,3,MPI,70.55,65.93,51.36,60.74,64.80,56.62,64.01,61.99,63.51,64.94
img_800.jpg,3,3,Hibrido,35.46,36.05,35.80,38.97,36.31,35.37,34.94,35.21,34.16,35.56
img_800.jpg,5,9,Secuencial,75.70,75.59,75.61,76.05,76.03,75.69,75.62,75.72,75.60,75.57
img_800.jpg,5,9,OpenMP,8.78,8.71,8.87,8.70,8.62,9.46,8.63,8.60,8.77,12.08
img_800.jpg,5,9,MPI,73.44,85.00,73.68,69.08,66.49,67.00,65.44,68.24,67.05,67.71
img_800.jpg,5,9,Hibrido,35.96,36.27,35.22,35.91,35.50,35.76,35.73,35.83,34.81,35.68
img_2000.jpg,3,3,Secuencial,313.18,312.69,315.01,313.08,314.48,315.03,313.17,312.73,313.23,313.16
img_2000.jpg,3,3,OpenMP,27.16,37.03,27.91,31.16,28.01,33.91,29.56,30.28,27.73,28.47
img_2000.jpg,3,3,MPI,408.82,452.94,754.83,600.20,391.03,647.78,618.33,385.84,389.45,398.00
img_2000.jpg,3,3,Hibrido,181.83,187.92,188.13,190.62,369.66,336.87,182.94,187.54,188.14,188.12
img_2000.jpg,5,9,Secuencial,459.41,459.40,459.07,459.12,269.61,462.68,459.29,458.68,459.12,460.71
img_2000.jpg,5,9,OpenMP,36.75,34.08,33.50,35.32,33.04,32.30,33.16,33.72,35.16,33.79
img_2000.jpg,5,9,MPI,391.99,411.38,398.39,600.19,406.79,789.78,400.62,622.92,612.94,589.10
img_2000.jpg,5,9,Hibrido,179.88,181.65,369.57,179.48,185.20,178.04,191.09,178.63,181.96,340.30
img_5000.jpg,3,3,Secuencial,1949.94,1147.89,1950.63,1948.92,1955.07,1950.97,1196.64,1194.60,1945.99,1951.53
img_5000.jpg,3,3,OpenMP,132.56,134.47,135.54,131.90,143.39,133.84,133.42,131.73,136.72,135.08
img_5000.jpg,3,3,MPI,1503.36,1506.42,1480.92,1530.68,1493.36,1495.89,1321.86,1474.35,1441.45,1475.36
img_5000.jpg,3,3,Hibrido,1078.81,1074.75,1226.14,1069.50,1074.28,1072.45,1072.28,1059.71,1068.98,1087.27
img_5000.jpg,5,9,Secuencial,2882.00,2883.11,2885.45,2884.10,2883.44,2883.71,1761.19,2884.48,2883.86,2884.63
img_5000.jpg,5,9,OpenMP,169.82,167.99,168.99,168.73,167.96,168.38,168.60,163.79,171.23,168.82
img_5000.jpg,5,9,MPI,1308.58,1512.69,1487.94,1319.94,1496.13,1519.21,1547.31,2094.74,1503.15,1509.90
img_5000.jpg,5,9,Hibrido,1094.69,1189.40,1089.55,1089.66,1086.93,1080.49,1137.69,1084.06,1090.75,1079.72
