Programa,Threads,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
OpenMP,1,3148.97,3150.45,3153.94,3167.61,3152.79,3150.44,3151.47,1846.42,3152.92,3157.31
OpenMP,2,1620.05,1585.76,1239.73,1585.52,1587.90,1611.70,1619.51,1587.60,1607.61,1618.14
OpenMP,4,801.68,807.46,808.72,812.19,801.42,808.38,736.82,803.61,774.54,810.47
OpenMP,8,415.78,405.30,416.75,420.01,410.29,417.54,417.05,414.81,418.70,407.32
OpenMP,16,282.56,248.66,289.25,282.44,277.42,224.38,225.51,225.53,260.81,227.94
OpenMP,32,179.57,164.37,165.41,176.37,166.43,166.91,165.04,163.64,170.17,167.63
Hibrido,1,1876.55,1826.63,1607.95,1849.93,1624.73,1829.71,1825.14,1838.51,1835.57,1604.80
Hibrido,2,1458.10,1437.20,1438.84,1362.55,1440.20,1430.03,1437.75,1437.00,1435.79,1548.25
Hibrido,4,1247.76,1238.05,1181.51,1185.36,1245.12,1250.28,1240.55,1244.66,1244.25,1237.57
Hibrido,8,1159.16,1150.82,1139.92,1117.74,1138.58,1139.78,1150.82,1157.86,1148.17,1125.91
Hibrido,16,1106.21,1109.95,1072.12,1110.04,1110.41,1110.70,1150.91,1117.93,1119.57,1104.33
Hibrido,32,1077.53,1221.80,1247.34,1152.78,1080.95,1176.38,1081.90,1064.29,1086.47,1088.97
